MTI Calibrated sensor data

ACCX ACCY ACCZ
GYRX GYRY GYRZ
MAGNX MAGNY MAGNZ
EulerX EulerY EulerZ

1159361706.99286000 ACCX:0.00470261 ACCY:-0.026737 ACCZ:9.81664
1159361706.99348000 GYRX:0.004802 GYRY:-0.00235031 GYRZ:-0.00993962
1159361706.99360000 MAGNX:-0.209512 MAGNY:-0.425091 MAGNZ:-0.66669
1159361706.99377000 EulerX:-0.153234 EulerY:-0.0290474 EulerZ:116.1
1159361706.208488000 ACCX:-0.028147 ACCY:0.0103043 ACCZ:9.79606
1159361706.208525000 GYRX:0.00582224 GYRY:-0.00216954 GYRZ:0.00209413
1159361706.208538000 MAGNX:-0.244991 MAGNY:-0.386136 MAGNZ:-0.498875
1159361706.208548000 EulerX:-0.131668 EulerY:-0.0310123 EulerZ:116.475
1159361706.318096000 ACCX:-0.0282019 ACCY:0.00670756 ACCZ:9.78703
1159361706.318133000 GYRX:0.0113047 GYRY:-0.006856 GYRZ:-0.00407234
1159361706.318145000 MAGNX:-0.208337 MAGNY:-0.425315 MAGNZ:-0.665908
1159361706.318156000 EulerX:-0.0978432 EulerY:-0.0553061 EulerZ:116.754
1159361706.428764000 ACCX:-0.000894321 ACCY:-0.000407314 ACCZ:9.78291
1159361706.428803000 GYRX:-0.0013111 GYRY:0.00273887 GYRZ:0.00873657
1159361706.428815000 MAGNX:-0.245213 MAGNY:-0.38634 MAGNZ:-0.49932
1159361706.428826000 EulerX:-0.0628656 EulerY:-0.053403 EulerZ:117.062
1159361706.538314000 ACCX:-0.00631531 ACCY:-0.0114927 ACCZ:9.78618
1159361706.538358000 GYRX:0.00238224 GYRY:-0.00584404 GYRZ:-0.00204645
1159361706.538370000 MAGNX:-0.20969 MAGNY:-0.426601 MAGNZ:-0.665924
1159361706.538382000 EulerX:-0.0365645 EulerY:-0.0526819 EulerZ:117.286
1159361706.647980000 ACCX:0.00479828 ACCY:-0.0339052 ACCZ:9.8178
1159361706.648016000 GYRX:0.0113169 GYRY:-0.00574462 GYRZ:-0.0123027
1159361706.648028000 MAGNX:-0.2444 MAGNY:-0.384829 MAGNZ:-0.500308
